scraped_at,election_name,election_date,race,candidate,votes
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For President and Vice President,"REP Donald J. Trump, JD Vance",16514
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For President and Vice President,"DEM Kamala D. Harris, Tim Walz",27552
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For President and Vice President,"LIB Chase Oliver, Mike ter Maat",432
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For President and Vice President,"GRN Jill Stein, Rudolph Ware",392
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For President and Vice President,Write-In Totals,165
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For President and Vice President,Total Votes Cast,45055
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For U.S. Senator,REP Josh Hawley,15723
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For U.S. Senator,DEM Lucas Kunce,27788
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For U.S. Senator,LIB W.C. Young,495
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For U.S. Senator,BTR Jared Young,275
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For U.S. Senator,GRN Nathan Kline,341
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For U.S. Senator,Write-In Totals,9
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For U.S. Senator,Total Votes Cast,44631
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For Governor,REP Mike Kehoe,17540
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For Governor,DEM Crystal Quade,26004
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For Governor,LIB Bill Slantz,591
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For Governor,GRN Paul Lehmann,353
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For Governor,Write-In Totals,11
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For Governor,Total Votes Cast,44499
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For Lieutenant Governor,REP Dave Wasinger,16134
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For Lieutenant Governor,DEM Richard Brown,25791
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For Lieutenant Governor,LIB Ken Iverson,894
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For Lieutenant Governor,GRN Danielle (Dani) Elliott,724
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For Lieutenant Governor,Write-In Totals,9
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For Lieutenant Governor,Total Votes Cast,43552
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For Secretary of State,REP Denny Hoskins,16113
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For Secretary of State,DEM Barbara Phifer,26277
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For Secretary of State,LIB Carl Herman Freese,702
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For Secretary of State,GRN Jerome Bauer,405
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For Secretary of State,Write-In Totals,12
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For Secretary of State,Total Votes Cast,43509
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For State Treasurer,REP Vivek Malek,17070
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For State Treasurer,DEM Mark Osmack,24989
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For State Treasurer,"LIB John A. Hartwig, Jr.",888
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For State Treasurer,GRN Reagan Haase,481
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For State Treasurer,Write-In Totals,6
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For State Treasurer,Total Votes Cast,43434
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For Attorney General,REP Andrew Bailey,16732
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For Attorney General,DEM Elad Jonathan Gross,25749
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For Attorney General,LIB Ryan L. Munro,919
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For Attorney General,Write-In Totals,8
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For Attorney General,Total Votes Cast,43408
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For U.S. Representative District 3,REP Bob Onder,8193
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For U.S. Representative District 3,DEM Bethany E. Mann,13450
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For U.S. Representative District 3,LIB Jordan Rowden,396
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For U.S. Representative District 3,GRN William Hastings,164
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For U.S. Representative District 3,Write-In Totals,4
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For U.S. Representative District 3,Total Votes Cast,22207
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For U.S. Representative District 4,REP Mark Alford,7848
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For U.S. Representative District 4,DEM Jeanette Cass,12619
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For U.S. Representative District 4,LIB Thomas Holbrook,531
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For U.S. Representative District 4,Write-In Totals,5
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For U.S. Representative District 4,Total Votes Cast,21003
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For State Senator District 19,REP James Coyne,15464
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For State Senator District 19,DEM Stephen Webber,27746
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For State Senator District 19,Write-In Totals,14
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For State Senator District 19,Total Votes Cast,43224
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For State Representative District 44,REP John Martin,3421
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For State Representative District 44,DEM Dave Raithel,2733
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For State Representative District 44,Write-In Totals,4
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For State Representative District 44,Total Votes Cast,6158
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For State Representative District 45,DEM Kathy Steinhoff,6285
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For State Representative District 45,Write-In Totals,57
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For State Representative District 45,Total Votes Cast,6342
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For State Representative District 46,DEM David Tyson Smith,9055
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For State Representative District 46,Write-In Totals,107
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For State Representative District 46,Total Votes Cast,9162
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For State Representative District 47,REP John Potter,4263
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For State Representative District 47,DEM Adrian Plank,6437
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For State Representative District 47,Write-In Totals,1
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For State Representative District 47,Total Votes Cast,10701
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For State Representative District 50,REP John T. Lane,2666
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For State Representative District 50,DEM Gregg Bush,4310
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For State Representative District 50,Write-In Totals,2
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For State Representative District 50,Total Votes Cast,6978
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For Circuit Judge Circuit 13 Division 1,REP Brouck Jacobs,24052
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For Circuit Judge Circuit 13 Division 1,Write-In Totals,788
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For Circuit Judge Circuit 13 Division 1,Total Votes Cast,24840
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For Circuit Judge Circuit 13 Division 3,REP Jesus Osete,15393
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For Circuit Judge Circuit 13 Division 3,DEM Stephanie Morrell,26870
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For Circuit Judge Circuit 13 Division 3,Write-In Totals,18
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,For Circuit Judge Circuit 13 Division 3,Total Votes Cast,42281
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,MISSOURI SUPREME COURT JUDGE KELLY C. BRONIEC,YES,20161
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,MISSOURI SUPREME COURT JUDGE KELLY C. BRONIEC,NO,16352
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,MISSOURI SUPREME COURT JUDGE KELLY C. BRONIEC,Total Votes Cast,36513
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,MISSOURI SUPREME COURT JUDGE GINGER K. GOOCH,YES,19137
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,MISSOURI SUPREME COURT JUDGE GINGER K. GOOCH,NO,16403
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,MISSOURI SUPREME COURT JUDGE GINGER K. GOOCH,Total Votes Cast,35540
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,MISSOURI COURT OF APPEALS JUDGE CYNTHIA LYNETTE MARTIN,YES,24779
2026-08-04T14:57:51.471036-05:00,General Election,5-Nov-24,MISSOURI COURT OF APPEALS JUDGE CYNTHIA LYNETTE MARTIN,NO,9198
